Дата (Год + Месяц)	Количество
2000.01	462523
2000.02	633208
2000.03	660159
2000.04	617455
2000.05	597354
2000.06	793517
2000.07	1015944
2000.08	1148052
2000.09	1156623
2000.10	1255021
2000.11	1410114
2000.12	1357230
2001.01	1003317
2001.02	1097048
2001.03	1498977
2001.04	1507696
2001.05	1520761
2001.06	1602674
2001.07	1685899
2001.08	1899255
2001.09	1716804
2001.10	2069772
2001.11	2016227
2001.12	1817580
2002.01	1493788
2002.02	1449402
2002.03	1734310
2002.04	2068457
2002.05	1899233
2002.06	2083559
2002.07	2157181
2002.08	2161689
2002.09	2315556
2002.10	2367611
2002.11	2110853
2002.12	2297331
2003.01	1496683
2003.02	1629978
2003.03	2475066
2003.04	2662780
2003.05	1812054
2003.06	1963250
2003.07	2270090
2003.08	2187333
2003.09	2329833
2003.10	2409688
2003.11	1919027
2003.12	1851642
2004.01	1434352
2004.02	1452569
