OUTDATE	QUANTITY	RETAIL_PRICE	NAME_3
10.01.2007	4	44,49	Зубная паста Силиция с морскими минералами 50мл
10.01.2007	1	44,49	Зубная паста Силиция Special с морскими минералами 50мл
10.01.2007	5	7,82	Зубная паста Мятная 100г
09.01.2007	3	7,82	Зубная паста Мятная 100г
05.01.2007	3	7,82	Зубная паста Мятная 100г
09.01.2007	2	7,82	Зубная паста Мятная 100г
12.01.2007	5	7,82	Зубная паста Мятная 100г
31.01.2007	9	7,82	Зубная паста Мятная 100г
19.01.2007	1	7,82	Зубная паста Мятная 100г
19.01.2007	5	7,82	Зубная паста Мятная 100г
17.01.2007	5	7,82	Зубная паста Мятная 100г
11.01.2007	10	7,82	Зубная паста Мятная 100г
11.01.2007	10	7,82	Зубная паста Семейная 100г
23.01.2007	3	7,82	Зубная паста Семейная 100г
19.01.2007	5	7,82	Зубная паста Семейная 100г
17.01.2007	5	7,82	Зубная паста Семейная 100г
10.01.2007	5	7,82	Зубная паста Семейная 100г
09.01.2007	5	7,82	Зубная паста Семейная 100г
09.01.2007	2	7,82	Зубная паста Семейная 100г
12.01.2007	5	7,82	Зубная паста Семейная 100г
22.01.2007	5	7,82	Зубная паста Семейная 100г
01.02.2007	10	7,82	Зубная паста Семейная 100г
09.01.2007	2	8,09	Зубная паста Хвойная 100г
04.01.2007	8	8,09	Зубная паста Хвойная 100г
12.01.2007	5	8,09	Зубная паста Хвойная 100г
30.01.2007	2	8,09	Зубная паста Хвойная 100г
30.01.2007	8	8,09	Зубная паста Хвойная 100г
29.01.2007	10	8,09	Зубная паста Хвойная 100г
25.01.2007	3	8,09	Зубная паста Хвойная 100г
10.01.2007	5	8,09	Зубная паста Хвойная 100г
09.01.2007	5	8,09	Зубная паста Хвойная 100г
10.01.2007	10	8,09	Зубная паста Хвойная 100г
11.01.2007	10	8,09	Зубная паста Хвойная 100г
23.01.2007	3	8,09	Зубная паста Хвойная 100г
15.01.2007	4	8,09	Зубная паста Хвойная 100г
23.01.2007	10	8,09	Зубная паста Хвойная 100г
10.01.2007	2	9,78	Зубная паста Жемчуг белоснежный Тотал 100г
10.01.2007	5	9,78	Зубная паста Жемчуг белоснежный Тотал 100г
29.01.2007	5	9,78	Зубная паста Жемчуг белоснежный Тотал 100г
23.01.2007	3	9,78	Зубная паста Жемчуг белоснежный Тотал 100г
13.02.2007	3	9,78	Зубная паста Жемчуг белоснежный Тотал 100г
22.01.2007	5	9,78	Зубная паста Жемчуг белоснежный Тотал 100г
15.01.2007	3	9,78	Зубная паста Жемчуг белоснежный Тотал 100г
10.01.2007	10	9,78	Зубная паста Жемчуг белоснежный Тотал 100г
04.01.2007	5	9,78	Зубная паста Жемчуг белоснежный Тотал 100г
12.01.2007	5	9,78	Зубная паста Жемчуг белоснежный Тотал 100г
07.02.2007	1	9,78	Зубная паста Жемчуг белоснежный Тотал 100г
22.01.2007	5	9,78	Зубная паста Жемчуг белоснежный Тотал 100г
19.01.2007	5	9,78	Зубная паста Жемчуг белоснежный Тотал 100г
19.01.2007	5	9,78	Зубная паста Жемчуг белоснежный Тотал 100г
13.02.2007	3	9,78	Зубная паста Жемчуг белоснежный Тотал 100г
