Код	Проект по инвалидам	Проект по водным ресурсам	Проект по усыновлению	Закон о врачах	Проект по Сальвадору	Закон о религиях	Антиспутниковый проект	Проект помощи Никарагуа	Проект по ракетам	Закон об иммигрантах	Проект по альтернативным источникам топлива	Закон об образовании	Проект по фондам	Проект по преступности	Проект по таможенным пошлинам	Проект по экспорту	Класс
1	нет	нет	да	да	да	да	нет	нет	да	да	нет	да	да	да	нет	да	республиканец
2	да	нет	да	да	да	да	да	да	нет	да	нет	да	нет	да	да	да	республиканец
3	нет	да	да	нет	да	воздержался	да	нет	нет	да	да	нет	да	нет	да	да	демократ
4	да	нет	да	нет	да	да	нет	нет	нет	нет	нет	нет	нет	нет	нет	да	демократ
5	нет	да	нет	да	да	да	нет	нет	нет	нет	да	да	да	да	нет	нет	республиканец
6	да	да	да	нет	да	да	нет	да	нет	нет	да	нет	да	нет	да	да	демократ
7	нет	да	да	нет	нет	нет	да	да	да	да	да	нет	нет	нет	да	да	демократ
8	нет	нет	нет	нет	да	да	да	нет	нет	нет	нет	да	да	да	нет	да	демократ
9	да	да	да	нет	нет	нет	да	да	да	да	да	нет	нет	нет	нет	да	демократ
10	нет	да	да	нет	нет	да	да	да	нет	да	да	нет	да	да	нет	воздержался	демократ
11	нет	нет	да	да	нет	нет	да	да	да	да	нет	нет	нет	да	да	да	республиканец
12	нет	да	да	нет	да	да	нет	да	нет	нет	нет	нет	нет	нет	нет	да	демократ
13	нет	воздержался	нет	да	да	да	нет	нет	нет	нет	нет	да	да	да	нет	нет	республиканец
14	да	да	нет	нет	да	да	нет	нет	нет	нет	да	да	да	да	да	нет	демократ
15	да	нет	да	нет	нет	нет	да	да	да	да	да	нет	нет	да	да	да	демократ
16	да	да	да	нет	да	да	да	да	нет	да	да	нет	нет	нет	да	воздержался	демократ
17	да	да	да	нет	нет	нет	да	да	да	да	нет	нет	да	нет	нет	да	демократ
18	нет	воздержался	да	нет	нет	нет	да	да	да	да	да	нет	нет	да	да	да	демократ
19	да	да	да	нет	нет	нет	нет	да	да	нет	да	нет	нет	нет	да	да	демократ
20	нет	да	да	нет	нет	да	да	да	да	нет	воздержался	нет	нет	нет	нет	да	демократ
21	да	нет	да	нет	нет	да	да	да	да	да	да	нет	нет	нет	нет	да	демократ
22	нет	да	нет	да	да	да	нет	нет	нет	нет	нет	да	да	да	нет	нет	республиканец
23	нет	нет	нет	да	да	да	нет	нет	нет	да	нет	да	нет	да	нет	да	республиканец
24	нет	нет	нет	да	да	да	нет	нет	нет	да	воздержался	да	да	да	нет	нет	республиканец
25	нет	да	нет	да	да	да	нет	нет	нет	да	нет	да	да	да	нет	да	республиканец
26	нет	да	нет	да	воздержался	да	нет	нет	нет	да	нет	да	да	да	нет	нет	республиканец
27	да	нет	да	нет	воздержался	нет	да	да	да	да	нет	да	нет	воздержался	да	да	демократ
28	да	да	да	нет	нет	нет	да	да	да	нет	да	нет	нет	нет	нет	воздержался	демократ
29	да	да	да	нет	нет	нет	да	да	воздержался	да	нет	нет	нет	нет	да	воздержался	демократ
30	нет	да	да	нет	да	да	нет	нет	нет	да	да	да	да	да	нет	воздержался	демократ
31	нет	воздержался	нет	нет	нет	да	да	да	да	да	нет	нет	нет	да	нет	воздержался	демократ
32	да	нет	да	нет	нет	нет	да	да	да	да	нет	нет	нет	нет	да	да	демократ
33	нет	нет	да	нет	нет	нет	да	да	да	нет	да	нет	нет	нет	да	да	демократ
34	да	нет	да	нет	нет	нет	да	да	да	да	нет	нет	нет	нет	да	да	демократ
35	нет	да	нет	да	да	да	нет	нет	нет	да	нет	воздержался	да	да	нет	нет	республиканец
36	нет	нет	да	нет	нет	да	да	да	да	нет	да	нет	нет	нет	да	да	демократ
37	нет	да	нет	да	да	да	нет	нет	нет	да	нет	да	да	да	нет	нет	республиканец
38	нет	воздержался	да	нет	да	да	нет	да	нет	нет	да	нет	нет	нет	нет	воздержался	демократ
39	нет	нет	да	нет	нет	нет	да	да	да	нет	нет	нет	нет	да	да	да	демократ
40	нет	да	нет	да	да	да	нет	нет	нет	нет	нет	да	да	воздержался	нет	да	республиканец
41	да	нет	да	нет	нет	да	да	да	нет	да	да	нет	да	да	да	да	демократ
42	да	нет	да	нет	нет	нет	да	да	да	нет	нет	нет	нет	нет	да	воздержался	демократ
43	нет	да	нет	да	да	да	нет	нет	нет	нет	нет	да	да	да	нет	да	республиканец
44	да	нет	нет	нет	да	да	да	нет	нет	да	да	нет	нет	да	нет	да	демократ
45	нет	нет	да	нет	нет	нет	да	да	да	да	да	нет	нет	нет	да	да	демократ
46	да	да	да	да	нет	нет	да	да	да	да	да	нет	нет	да	нет	да	демократ
47	нет	воздержался	нет	да	да	да	нет	нет	нет	нет	нет	да	да	да	нет	воздержался	республиканец
48	нет	нет	нет	да	да	да	нет	нет	нет	нет	нет	да	да	да	нет	да	республиканец
49	да	нет	да	нет	нет	да	да	да	нет	нет	нет	да	да	нет	нет	да	демократ
50	нет	да	да	да	да	да	нет	нет	нет	да	нет	да	да	да	нет	да	республиканец
51	нет	нет	нет	да	да	да	нет	нет	нет	нет	нет	да	да	да	да	нет	республиканец
52	нет	да	нет	да	да	да	нет	нет	нет	нет	нет	да	да	да	нет	воздержался	республиканец
53	да	нет	нет	нет	да	да	нет	нет	нет	нет	да	да	нет	да	нет	да	демократ
54	нет	да	да	нет	да	да	нет	нет	нет	нет	да	нет	нет	нет	да	воздержался	демократ
