Регионы	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007
Белгородская область	733	1043	1539	1774	2239	3162	4726	5904	7776	10401	13641	17409	22574.6
Брянская область	901	1931	2479	1999	2676	3536	5026	6505	8374	11115	13747	17107	20629.7
Владимирская область	749	1165	1497	1565	2119	3095	4196	5679	7820	10266	13992	17835	22616.9
Воронежская область	1067	1724	2172	2541	3544	4936	7448	10171	12755	15308	21108	26667	32512
Ивановская область	622	1120	1501	1745	2097	2682	3265	4498	6077	7953	9990	11742	14349.8
Калужская область	529	964	1169	1279	1731	2321	3266	4661	6806	8242	10549	13593	17149.3
Костромская область	408	518	577	648	919	1263	1729	2471	3151	4061	5524	6987	8930.2
Курская область	554		1225		1678	2075	3059	4225	5968	7750	10819	15211	18643.9
Липецкая область	511	785	1270	1505	1929	2736	3778	4865	6888	9175	11541	14965	18142.8
Московская область	4608	7053	9752	12403	19880	25454	36787	50478	67088	85873	106745	136295	167028.1
Орловская область	371	607	759	837	1199	1665	2435	3483	4747	5927	7562	8666	10023.7
Рязанская область	570	790	917	1094	1688	2172	3331	4795	6434	8526	10700	13208	16136.3
Смоленская область	625	1115	1391	1516	1849	2495	3094	3883	5601	7091	9060	11151	13936.7
Тамбовская область	455	761	1090	1365	1830	2615	3844	5055	6774	8382	10680	12997	16256.9
Тверская область	636	1113	1357	1576	2077	2822	4062	5649	8027	11773	16451	20180	24958.1
Тульская область	695	1398	1640	1950	2568	3802	5043	7356	9645	12432	16967	21101	25272.3
Ярославская область	856	1288	1904	2251	2850	3906	5654	7407	9701	12371	17239	23348	28489.5
г.Москва	20179	45541	74508	90069	134534	180724	226174	294480	391045	463528	562291	659198	784336
