¿–√”Ã≈Õ“1	¿–√”Ã≈Õ“2	œ–Œ»«¬≈ƒ≈Õ»≈
1	1	1
5	9	45
5	10	50
7	10	70
2	1	2
1	2	2
2	2	4
2	3	6
2	4	8
1	3	3
3	2	6
3	3	9
3	5	15
1	4	4
1	10	10
2	6	12
6	10	60
7	1	7
7	2	14
2	7	14
2	10	20
3	1	3
3	6	18
3	7	21
3	9	27
3	10	30
4	1	4
4	2	8
4	4	16
4	5	20
4	6	24
6	7	42
6	8	48
4	7	28
4	8	32
4	9	36
4	10	40
5	1	5
5	2	10
5	3	15
5	4	20
5	5	25
5	6	30
6	6	36
6	9	54
7	3	21
7	4	28
7	8	56
7	9	63
5	7	35
5	8	40
8	1	8
8	2	16
8	3	24
8	4	32
8	5	40
8	6	48
8	7	56
8	9	72
8	10	80
