Date,Russia
2004-10-03,150
2004-10-10,168
2004-10-17,242
2004-10-24,284
2004-10-31,311
2004-11-07,356
2004-11-14,339
2004-11-21,354
2004-11-28,366
2004-12-05,383
2004-12-12,364
2004-12-19,395
2004-12-26,419
2005-01-02,401
2005-01-09,390
2005-01-16,336
2005-01-23,299
2005-01-30,282
2005-02-06,296
2005-02-13,295
2005-02-20,327
2005-02-27,348
2005-03-06,369
2005-03-13,358
2005-03-20,342
2005-03-27,333
2005-04-03,291
2005-04-10,283
2005-04-17,268
2005-04-24,249
2005-05-01,235
2005-05-08,218
2005-05-15,222
2005-05-22,206
2005-05-29,192
2005-06-05,183
2005-06-12,170
2005-06-19,158
2005-06-26,155
2005-07-03,138
2005-07-10,127
2005-07-17,125
2005-07-24,112
2005-07-31,113
2005-08-07,110
2005-08-14,105
2005-08-21,109
2005-08-28,111
2005-09-04,127
2005-09-11,164
2005-09-18,176
2005-09-25,242
2005-10-02,300
2005-10-09,296
2005-10-16,307
2005-10-23,329
2005-10-30,411
2005-11-06,417
2005-11-13,371
2005-11-20,316
2005-11-27,341
2005-12-04,362
2005-12-11,357
2005-12-18,415
2005-12-25,409
2006-01-01,436
2006-01-08,362
2006-01-15,327
2006-01-22,313
2006-01-29,304
2006-02-05,329
2006-02-12,344
2006-02-19,413
2006-02-26,436
2006-03-05,434
2006-03-12,486
2006-03-19,509
2006-03-26,442
2006-04-02,389
2006-04-09,316
2006-04-16,253
2006-04-23,211
2006-04-30,187
2006-05-07,191
2006-05-14,189
2006-05-21,258
2006-05-28,254
2006-06-04,264
2006-06-11,232
2006-06-18,250
2006-06-25,241
2006-07-02,206
2006-07-09,178
2006-07-16,146
2006-07-23,143
2006-07-30,136
2006-08-06,140
2006-08-13,163
2006-08-20,145
2006-08-27,171
2006-09-03,190
2006-09-10,243
2006-09-17,320
2006-09-24,349
2006-10-01,341
2006-10-08,343
2006-10-15,358
2006-10-22,410
2006-10-29,379
2006-11-05,340
2006-11-12,305
2006-11-19,319
2006-11-26,339
2006-12-03,320
2006-12-10,342
2006-12-17,338
2006-12-24,330
2006-12-31,329
2007-01-07,337
2007-01-14,300
2007-01-21,332
2007-01-28,330
2007-02-04,408
2007-02-11,447
2007-02-18,606
2007-02-25,761
2007-03-04,612
2007-03-11,432
2007-03-18,327
2007-03-25,359
2007-04-01,294
2007-04-08,249
2007-04-15,236
2007-04-22,364
2007-04-29,318
2007-05-06,259
2007-05-13,232
2007-05-20,221
2007-05-27,200
2007-06-03,175
2007-06-10,132
2007-06-17,125
2007-06-24,139
2007-07-01,149
2007-07-08,126
2007-07-15,134
2007-07-22,123
2007-07-29,121
2007-08-05,149
2007-08-12,152
2007-08-19,148
2007-08-26,143
2007-09-02,178
2007-09-09,255
2007-09-16,452
2007-09-23,427
2007-09-30,406
2007-10-07,405
2007-10-14,410
2007-10-21,360
2007-10-28,381
2007-11-04,350
2007-11-11,364
2007-11-18,417
2007-11-25,379
2007-12-02,404
2007-12-09,510
2007-12-16,511
2007-12-23,436
2007-12-30,505
2008-01-06,479
2008-01-13,369
2008-01-20,486
2008-01-27,669
2008-02-03,552
2008-02-10,776
2008-02-17,883
2008-02-24,950
2008-03-02,755
2008-03-09,694
2008-03-16,626
2008-03-23,456
2008-03-30,470
2008-04-06,443
2008-04-13,374
2008-04-20,336
2008-04-27,381
2008-05-04,288
2008-05-11,312
2008-05-18,283
2008-05-25,289
2008-06-01,262
2008-06-08,241
2008-06-15,193
2008-06-22,171
2008-06-29,157
2008-07-06,123
2008-07-13,125
2008-07-20,101
2008-07-27,112
2008-08-03,120
2008-08-10,118
2008-08-17,157
2008-08-24,225
2008-08-31,224
2008-09-07,342
2008-09-14,466
2008-09-21,505
2008-09-28,530
2008-10-05,502
2008-10-12,461
2008-10-19,440
2008-10-26,411
2008-11-02,462
2008-11-09,444
2008-11-16,452
2008-11-23,391
2008-11-30,495
2008-12-07,506
2008-12-14,483
2008-12-21,437
2008-12-28,449
2009-01-04,499
2009-01-11,407
2009-01-18,450
2009-01-25,536
2009-02-01,648
2009-02-08,754
2009-02-15,880
2009-02-22,1006
2009-03-01,975
2009-03-08,907
2009-03-15,718
2009-03-22,565
2009-03-29,453
2009-04-05,428
2009-04-12,448
2009-04-19,390
2009-04-26,533
2009-05-03,442
2009-05-10,353
2009-05-17,283
2009-05-24,270
2009-05-31,263
2009-06-07,204
2009-06-14,217
2009-06-21,196
2009-06-28,184
2009-07-05,162
2009-07-12,204
2009-07-19,168
2009-07-26,205
2009-08-02,216
2009-08-09,234
2009-08-16,224
2009-08-23,264
2009-08-30,310
2009-09-06,419
2009-09-13,478
2009-09-20,609
2009-09-27,583
2009-10-04,526
2009-10-11,570
2009-10-18,666
2009-10-25,946
2009-11-01,1380
2009-11-08,1742
2009-11-15,1649
2009-11-22,1383
2009-11-29,994
2009-12-06,702
2009-12-13,621
2009-12-20,605
2009-12-27,492
2010-01-03,554
2010-01-10,526
2010-01-17,524
2010-01-24,615
2010-01-31,640
2010-02-07,719
2010-02-14,720
2010-02-21,646
2010-02-28,527
2010-03-07,477
2010-03-14,470
2010-03-21,421
2010-03-28,389
2010-04-04,419
2010-04-11,456
2010-04-18,469
2010-04-25,521
2010-05-02,484
2010-05-09,408
2010-05-16,356
2010-05-23,305
2010-05-30,295
2010-06-06,276
2010-06-13,272
2010-06-20,249
2010-06-27,223
2010-07-04,213
2010-07-11,193
2010-07-18,208
2010-07-25,214
2010-08-01,208
2010-08-08,241
2010-08-15,260
2010-08-22,324
2010-08-29,367
2010-09-05,595
2010-09-12,775
2010-09-19,669
2010-09-26,653
2010-10-03,603
2010-10-10,537
2010-10-17,511
2010-10-24,477
2010-10-31,419
2010-11-07,418
2010-11-14,393
2010-11-21,436
2010-11-28,495
2010-12-05,469
2010-12-12,493
2010-12-19,603
2010-12-26,587
2011-01-02,890
